version:v1.0,,,
Name [displayName],Benutzername [userPrincipalName],Passwort [passwordProfile], Anmeldung [accountEnabled]
Janko Scheel,Janko@tryadr.de,P123Jhfuez,No
Josip Schinke-Fechner,Josip@tryadr.de,P123Jhfuez,No
Käthe Nohlmans,Käthe@tryadr.de,P123Jhfuez,No
Hans-Günther Junken,Hans-Günther@tryadr.de,P123Jhfuez,No
Nurettin Renner,Nurettin@tryadr.de,P123Jhfuez,No
Ivana Textor,Ivana@tryadr.de,P123Jhfuez,No
Prof. Annelene Bohlander,Prof.@tryadr.de,P123Jhfuez,No
Friedhilde Eimer,Friedhilde@tryadr.de,P123Jhfuez,No
Anke Koch-Stiffel,Anke@tryadr.de,P123Jhfuez,No
Univ.Prof. Katja Ernst,Univ.Prof.@tryadr.de,P123Jhfuez,No
Sandor Mitschke,Sandor@tryadr.de,P123Jhfuez,No
Ing. Aleksander Conradi,Ing.@tryadr.de,P123Jhfuez,No
Andree Scholtz,Andree@tryadr.de,P123Jhfuez,No
Aloys Plath,Aloys@tryadr.de,P123Jhfuez,No
Mariechen Stiebitz,Mariechen@tryadr.de,P123Jhfuez,No
Jan-Peter Gieß,Jan-Peter@tryadr.de,P123Jhfuez,No
Thoralf Kohl-Ernst,Thoralf@tryadr.de,P123Jhfuez,No
Paul-Heinz Adler,Paul-Heinz@tryadr.de,P123Jhfuez,No
Edith Ring,Edith@tryadr.de,P123Jhfuez,No
Jaroslav Tintzmann,Jaroslav@tryadr.de,P123Jhfuez,No
Ing. Isidor Heintze,Ing.@tryadr.de,P123Jhfuez,No
Ayten Stroh,Ayten@tryadr.de,P123Jhfuez,No
Fernando Hübel,Fernando@tryadr.de,P123Jhfuez,No
Waldtraut Geißler-Junck,Waldtraut@tryadr.de,P123Jhfuez,No
Sybille Radisch,Sybille@tryadr.de,P123Jhfuez,No
Cäcilie Junck,Cäcilie@tryadr.de,P123Jhfuez,No
Malgorzata Sager,Malgorzata@tryadr.de,P123Jhfuez,No
Kenneth Meyer,Kenneth@tryadr.de,P123Jhfuez,No
Gottlieb Zahn,Gottlieb@tryadr.de,P123Jhfuez,No
Klothilde Heuser,Klothilde@tryadr.de,P123Jhfuez,No
Wiebke Wesack-Kroker,Wiebke@tryadr.de,P123Jhfuez,No
Ahmet Heinz,Ahmet@tryadr.de,P123Jhfuez,No
Tilmann Klotz-Briemer,Tilmann@tryadr.de,P123Jhfuez,No
Ilja Koch,Ilja@tryadr.de,P123Jhfuez,No
Hansjoachim Meyer,Hansjoachim@tryadr.de,P123Jhfuez,No
Christopher Roskoth,Christopher@tryadr.de,P123Jhfuez,No
Rose Karz-Zorbach,Rose@tryadr.de,P123Jhfuez,No
Meta Trubin,Meta@tryadr.de,P123Jhfuez,No
Traudel Gotthard,Traudel@tryadr.de,P123Jhfuez,No
Marie-Louise Stahr,Marie-Louise@tryadr.de,P123Jhfuez,No
Kerstin Gutknecht,Kerstin@tryadr.de,P123Jhfuez,No
Antonio Zorbach,Antonio@tryadr.de,P123Jhfuez,No
Ekkehart Lorch,Ekkehart@tryadr.de,P123Jhfuez,No
Herr Hans-J. Keudel,Herr@tryadr.de,P123Jhfuez,No
Hildegund Hethur-Schleich,Hildegund@tryadr.de,P123Jhfuez,No
Reiner Riehl,Reiner@tryadr.de,P123Jhfuez,No
Reni Langern,Reni@tryadr.de,P123Jhfuez,No
Ernst-Otto Lorch,Ernst-Otto@tryadr.de,P123Jhfuez,No
Susana Losekann,Susana@tryadr.de,P123Jhfuez,No
Vincenzo Weinhold,Vincenzo@tryadr.de,P123Jhfuez,No
